snapshotTime,snapshotTimeUTC,open_bid,open_ask,open_mid,high_bid,high_ask,high_mid,low_bid,low_ask,low_mid,close_bid,close_ask,close_mid,volume
2026-04-15T15:30:00,2026-04-15T13:30:00,4821.48,4821.98,4821.73,4825.32,4825.82,4825.57,4815.65,4816.15,4815.9,4820.38,4820.88,4820.63,8317
2026-04-15T15:45:00,2026-04-15T13:45:00,4820.4,4820.9,4820.65,4830.03,4830.57,4830.299999999999,4819.7,4820.28,4819.99,4828.77,4829.27,4829.02,6828
2026-04-15T16:00:00,2026-04-15T14:00:00,4828.73,4829.23,4828.98,4829.69,4830.19,4829.94,4820.48,4821.02,4820.75,4828.58,4829.08,4828.83,6177
2026-04-15T16:15:00,2026-04-15T14:15:00,4828.57,4829.07,4828.82,4830.57,4831.07,4830.82,4822.02,4822.63,4822.325000000001,4825.04,4825.54,4825.29,5972
2026-04-15T16:30:00,2026-04-15T14:30:00,4825.14,4825.64,4825.39,4825.52,4826.02,4825.77,4815.21,4815.96,4815.585,4819.14,4819.64,4819.39,5907
2026-04-15T16:45:00,2026-04-15T14:45:00,4819.2,4819.7,4819.45,4819.38,4819.88,4819.63,4813.21,4813.9,4813.555,4815.25,4816.0,4815.625,5408
2026-04-15T17:00:00,2026-04-15T15:00:00,4815.23,4815.98,4815.605,4816.04,4816.54,4816.29,4800.0,4800.65,4800.325,4810.02,4810.52,4810.27,7225
2026-04-15T17:15:00,2026-04-15T15:15:00,4809.89,4810.39,4810.14,4810.49,4811.04,4810.764999999999,4797.42,4798.17,4797.795,4798.09,4798.59,4798.34,6060
2026-04-15T17:30:00,2026-04-15T15:30:00,4798.1,4798.6,4798.35,4806.28,4806.78,4806.53,4786.76,4787.26,4787.01,4803.42,4803.92,4803.67,7408
2026-04-15T17:45:00,2026-04-15T15:45:00,4803.35,4803.85,4803.6,4807.32,4807.82,4807.57,4799.21,4799.78,4799.495,4801.47,4801.97,4801.72,5233
2026-04-15T18:00:00,2026-04-15T16:00:00,4801.45,4801.95,4801.7,4810.17,4810.79,4810.48,4800.25,4800.75,4800.5,4808.25,4808.75,4808.5,4672
2026-04-15T18:15:00,2026-04-15T16:15:00,4808.14,4808.64,4808.39,4812.52,4813.02,4812.77,4805.21,4805.73,4805.469999999999,4811.03,4811.53,4811.28,4367
2026-04-15T18:30:00,2026-04-15T16:30:00,4811.05,4811.55,4811.3,4811.81,4812.31,4812.06,4802.75,4803.34,4803.045,4804.36,4804.86,4804.61,4947
2026-04-15T18:45:00,2026-04-15T16:45:00,4804.32,4804.82,4804.57,4807.11,4807.68,4807.395,4800.02,4800.52,4800.27,4803.74,4804.24,4803.99,5128
2026-04-15T19:00:00,2026-04-15T17:00:00,4803.82,4804.32,4804.07,4804.81,4805.31,4805.06,4797.82,4798.32,4798.07,4797.98,4798.48,4798.23,4410
2026-04-15T19:15:00,2026-04-15T17:15:00,4798.07,4798.57,4798.32,4808.59,4809.11,4808.85,4797.99,4798.49,4798.24,4801.66,4802.16,4801.91,4313
2026-04-15T19:30:00,2026-04-15T17:30:00,4801.58,4802.08,4801.83,4802.53,4803.03,4802.78,4792.05,4792.55,4792.3,4793.46,4793.96,4793.71,4809
2026-04-15T19:45:00,2026-04-15T17:45:00,4793.5,4794.0,4793.75,4795.6,4796.21,4795.905000000001,4790.64,4791.19,4790.915,4792.39,4792.89,4792.64,3985
2026-04-15T20:00:00,2026-04-15T18:00:00,4792.4,4792.9,4792.65,4800.67,4801.21,4800.9400000000005,4789.96,4790.46,4790.21,4796.86,4797.36,4797.11,6874
