snapshotTime,snapshotTimeUTC,open_bid,open_ask,open_mid,high_bid,high_ask,high_mid,low_bid,low_ask,low_mid,close_bid,close_ask,close_mid,volume
2026-04-16T10:30:00,2026-04-16T08:30:00,2340.84,2342.59,2341.715,2343.93,2345.68,2344.805,2339.76,2341.51,2340.635,2343.05,2344.8,2343.925,3380
2026-04-16T10:45:00,2026-04-16T08:45:00,2343.06,2344.81,2343.935,2345.44,2347.19,2346.315,2337.67,2339.42,2338.545,2338.57,2340.32,2339.445,2877
2026-04-16T11:00:00,2026-04-16T09:00:00,2338.56,2340.31,2339.435,2343.71,2345.46,2344.585,2337.49,2339.24,2338.365,2343.47,2345.22,2344.345,3279
2026-04-16T11:15:00,2026-04-16T09:15:00,2343.48,2345.23,2344.355,2348.06,2349.81,2348.935,2343.48,2345.23,2344.355,2346.17,2347.92,2347.045,3761
2026-04-16T11:30:00,2026-04-16T09:30:00,2346.12,2347.87,2346.995,2346.74,2348.49,2347.615,2338.56,2340.31,2339.435,2339.13,2340.88,2340.005,3202
2026-04-16T11:45:00,2026-04-16T09:45:00,2339.16,2340.91,2340.035,2340.24,2341.99,2341.115,2337.24,2338.99,2338.115,2337.57,2339.32,2338.445,2737
2026-04-16T12:00:00,2026-04-16T10:00:00,2337.6,2339.35,2338.475,2339.83,2341.58,2340.705,2329.29,2331.04,2330.165,2330.33,2332.08,2331.205,4137
2026-04-16T12:15:00,2026-04-16T10:15:00,2330.37,2332.12,2331.245,2336.9,2338.65,2337.775,2328.36,2330.11,2329.235,2334.71,2336.46,2335.585,3836
2026-04-16T12:30:00,2026-04-16T10:30:00,2334.79,2336.54,2335.665,2336.95,2338.7,2337.825,2331.82,2333.57,2332.695,2332.37,2334.12,2333.245,3217
2026-04-16T12:45:00,2026-04-16T10:45:00,2332.36,2334.11,2333.235,2334.18,2335.93,2335.055,2328.2,2329.95,2329.075,2331.7,2333.45,2332.575,3033
2026-04-16T13:00:00,2026-04-16T11:00:00,2331.72,2333.47,2332.595,2333.31,2335.06,2334.185,2329.41,2331.16,2330.285,2330.55,2332.3,2331.425,2952
2026-04-16T13:15:00,2026-04-16T11:15:00,2330.58,2332.33,2331.455,2332.34,2334.09,2333.215,2329.3,2331.05,2330.175,2332.06,2333.81,2332.935,2388
2026-04-16T13:30:00,2026-04-16T11:30:00,2332.03,2333.78,2332.905,2335.4,2337.15,2336.275,2331.19,2332.94,2332.065,2332.14,2333.89,2333.015,3127
2026-04-16T13:45:00,2026-04-16T11:45:00,2332.11,2333.86,2332.985,2335.68,2337.43,2336.555,2331.53,2333.28,2332.405,2335.35,2337.1,2336.225,2767
2026-04-16T14:00:00,2026-04-16T12:00:00,2335.36,2337.11,2336.235,2347.74,2349.49,2348.615,2334.53,2336.28,2335.405,2343.68,2345.43,2344.555,4210
2026-04-16T14:15:00,2026-04-16T12:15:00,2343.74,2345.49,2344.615,2345.72,2347.47,2346.595,2338.52,2340.27,2339.395,2340.36,2342.11,2341.235,3023
2026-04-16T14:30:00,2026-04-16T12:30:00,2340.42,2342.17,2341.295,2341.64,2343.39,2342.515,2336.13,2337.88,2337.005,2338.99,2340.74,2339.865,3316
2026-04-16T14:45:00,2026-04-16T12:45:00,2338.97,2340.72,2339.845,2341.36,2343.11,2342.235,2337.08,2338.83,2337.955,2340.04,2341.79,2340.915,2596
2026-04-16T15:00:00,2026-04-16T13:00:00,2340.08,2341.83,2340.955,2344.79,2346.54,2345.665,2337.43,2339.18,2338.305,2344.13,2345.88,2345.005,3199
2026-04-16T15:15:00,2026-04-16T13:15:00,2344.15,2345.9,2345.025,2351.14,2352.89,2352.015,2343.43,2345.18,2344.305,2349.04,2350.79,2349.915,3744
2026-04-16T15:30:00,2026-04-16T13:30:00,2348.95,2350.7,2349.825,2350.23,2351.98,2351.105,2332.28,2334.03,2333.155,2336.52,2338.27,2337.395,6732
2026-04-16T15:45:00,2026-04-16T13:45:00,2336.58,2338.33,2337.455,2336.7,2338.45,2337.575,2291.17,2292.92,2292.045,2307.48,2309.23,2308.355,7114
2026-04-16T16:00:00,2026-04-16T14:00:00,2307.51,2309.26,2308.385,2311.23,2312.98,2312.105,2296.93,2298.68,2297.805,2305.32,2307.07,2306.195,6822
2026-04-16T16:15:00,2026-04-16T14:15:00,2305.3,2307.05,2306.175,2307.61,2309.36,2308.485,2284.68,2286.43,2285.555,2294.26,2296.01,2295.135,6887
2026-04-16T16:30:00,2026-04-16T14:30:00,2294.28,2296.03,2295.155,2305.67,2307.42,2306.545,2293.17,2294.92,2294.045,2304.59,2306.34,2305.465,6170
2026-04-16T16:45:00,2026-04-16T14:45:00,2304.58,2306.33,2305.455,2315.84,2317.59,2316.715,2303.36,2305.11,2304.235,2309.59,2311.34,2310.465,6091
2026-04-16T17:00:00,2026-04-16T15:00:00,2309.55,2311.3,2310.425,2329.9,2331.65,2330.775,2307.93,2309.68,2308.805,2324.92,2326.67,2325.795,6239
2026-04-16T17:15:00,2026-04-16T15:15:00,2324.84,2326.59,2325.715,2328.69,2330.44,2329.565,2318.66,2320.41,2319.535,2318.66,2320.41,2319.535,4636
2026-04-16T17:30:00,2026-04-16T15:30:00,2318.63,2320.38,2319.505,2348.73,2350.48,2349.605,2317.8,2319.55,2318.675,2338.37,2340.12,2339.245,5663
2026-04-16T17:45:00,2026-04-16T15:45:00,2338.38,2340.13,2339.255,2342.98,2344.73,2343.855,2331.52,2333.27,2332.395,2338.86,2340.61,2339.735,4721
2026-04-16T18:00:00,2026-04-16T16:00:00,2338.87,2340.62,2339.745,2348.53,2350.28,2349.405,2333.74,2335.49,2334.615,2335.33,2337.08,2336.205,5052
2026-04-16T18:15:00,2026-04-16T16:15:00,2335.48,2337.23,2336.355,2342.26,2344.01,2343.135,2331.74,2333.49,2332.615,2331.77,2333.52,2332.645,5364
2026-04-16T18:30:00,2026-04-16T16:30:00,2331.81,2333.56,2332.685,2334.64,2336.39,2335.515,2317.1,2318.85,2317.975,2321.31,2323.06,2322.185,6251
2026-04-16T18:45:00,2026-04-16T16:45:00,2321.32,2323.07,2322.195,2324.53,2326.28,2325.405,2309.41,2311.16,2310.285,2316.1,2317.85,2316.975,5414
2026-04-16T19:00:00,2026-04-16T17:00:00,2316.11,2317.86,2316.985,2320.38,2322.13,2321.255,2310.74,2312.49,2311.615,2310.98,2312.73,2311.855,5547
2026-04-16T19:15:00,2026-04-16T17:15:00,2310.95,2312.7,2311.825,2325.08,2326.83,2325.955,2309.4,2311.15,2310.275,2324.04,2325.79,2324.915,5534
2026-04-16T19:30:00,2026-04-16T17:30:00,2324.09,2325.84,2324.965,2328.95,2330.7,2329.825,2317.62,2319.37,2318.495,2327.93,2329.68,2328.805,4564
2026-04-16T19:45:00,2026-04-16T17:45:00,2327.92,2329.67,2328.795,2328.95,2330.7,2329.825,2319.31,2321.06,2320.185,2325.09,2326.84,2325.965,4248
2026-04-16T20:00:00,2026-04-16T18:00:00,2325.07,2326.82,2325.945,2334.19,2335.94,2335.065,2319.67,2321.42,2320.545,2326.77,2328.52,2327.645,5793
2026-04-16T20:15:00,2026-04-16T18:15:00,2326.78,2328.53,2327.655,2330.27,2332.02,2331.145,2322.06,2323.81,2322.935,2325.33,2327.08,2326.205,5051
2026-04-16T20:30:00,2026-04-16T18:30:00,2325.34,2327.09,2326.215,2335.26,2337.01,2336.135,2324.07,2325.82,2324.945,2332.88,2334.63,2333.755,5048
