snapshotTime,snapshotTimeUTC,open_bid,open_ask,open_mid,high_bid,high_ask,high_mid,low_bid,low_ask,low_mid,close_bid,close_ask,close_mid,volume
2026-04-15T09:30:00,2026-04-15T07:30:00,8280.3,8281.1,8280.7,8282.1,8282.9,8282.5,8271.3,8272.1,8271.7,8277.6,8278.4,8278.0,1064
2026-04-15T09:45:00,2026-04-15T07:45:00,8277.3,8278.1,8277.7,8278.3,8279.1,8278.7,8263.8,8264.6,8264.2,8269.3,8270.1,8269.7,1068
2026-04-15T10:00:00,2026-04-15T08:00:00,8269.8,8270.6,8270.2,8269.8,8270.6,8270.2,8256.3,8257.1,8256.7,8266.6,8267.4,8267.0,1060
2026-04-15T10:15:00,2026-04-15T08:15:00,8266.3,8267.1,8266.7,8279.1,8279.9,8279.5,8265.8,8266.6,8266.2,8278.3,8279.1,8278.7,1065
2026-04-15T10:30:00,2026-04-15T08:30:00,8278.8,8279.6,8279.2,8292.3,8293.1,8292.7,8274.8,8275.6,8275.2,8287.3,8288.1,8287.7,786
2026-04-15T10:45:00,2026-04-15T08:45:00,8287.1,8287.9,8287.5,8293.1,8293.9,8293.5,8283.3,8284.1,8283.7,8292.3,8293.1,8292.7,728
2026-04-15T11:00:00,2026-04-15T09:00:00,8291.8,8292.6,8292.2,8295.1,8295.9,8295.5,8270.8,8271.6,8271.2,8279.3,8280.1,8279.7,1575
2026-04-15T11:15:00,2026-04-15T09:15:00,8279.1,8279.9,8279.5,8286.3,8287.1,8286.7,8270.6,8271.4,8271.0,8274.1,8274.9,8274.5,960
2026-04-15T11:30:00,2026-04-15T09:30:00,8274.3,8275.1,8274.7,8280.1,8280.9,8280.5,8273.3,8274.1,8273.7,8275.8,8276.6,8276.2,906
2026-04-15T11:45:00,2026-04-15T09:45:00,8275.6,8276.4,8276.0,8277.8,8278.6,8278.2,8269.1,8269.9,8269.5,8271.3,8272.1,8271.7,776
2026-04-15T12:00:00,2026-04-15T10:00:00,8271.8,8272.6,8272.2,8284.6,8285.4,8285.0,8271.3,8272.1,8271.7,8275.3,8276.1,8275.7,1012
2026-04-15T12:15:00,2026-04-15T10:15:00,8275.1,8275.9,8275.5,8275.1,8275.9,8275.5,8259.1,8259.9,8259.5,8263.1,8263.9,8263.5,1620
2026-04-15T12:30:00,2026-04-15T10:30:00,8263.3,8264.1,8263.7,8277.3,8278.1,8277.7,8259.3,8260.1,8259.7,8273.3,8274.1,8273.7,1318
2026-04-15T12:45:00,2026-04-15T10:45:00,8273.8,8274.6,8274.2,8280.8,8281.6,8281.2,8270.3,8271.1,8270.7,8274.1,8274.9,8274.5,945
2026-04-15T13:00:00,2026-04-15T11:00:00,8274.3,8275.1,8274.7,8278.8,8279.6,8279.2,8269.3,8270.1,8269.7,8277.8,8278.6,8278.2,838
2026-04-15T13:15:00,2026-04-15T11:15:00,8277.3,8278.1,8277.7,8279.3,8280.1,8279.7,8272.8,8273.6,8273.2,8273.3,8274.1,8273.7,729
2026-04-15T13:30:00,2026-04-15T11:30:00,8273.8,8274.6,8274.2,8280.8,8281.6,8281.2,8272.3,8273.1,8272.7,8277.8,8278.6,8278.2,914
2026-04-15T13:45:00,2026-04-15T11:45:00,8278.1,8278.9,8278.5,8307.3,8308.1,8307.7,8273.8,8274.6,8274.2,8283.3,8284.1,8283.7,1475
2026-04-15T14:00:00,2026-04-15T12:00:00,8282.8,8283.6,8283.2,8287.8,8288.6,8288.2,8274.8,8275.6,8275.2,8281.6,8282.4,8282.0,1328
2026-04-15T14:15:00,2026-04-15T12:15:00,8281.3,8282.1,8281.7,8284.3,8285.1,8284.7,8274.6,8275.4,8275.0,8279.6,8280.4,8280.0,830
2026-04-15T14:30:00,2026-04-15T12:30:00,8279.3,8280.1,8279.7,8280.6,8281.4,8281.0,8272.8,8273.6,8273.2,8275.8,8276.6,8276.2,933
2026-04-15T14:45:00,2026-04-15T12:45:00,8275.6,8276.4,8276.0,8280.1,8280.9,8280.5,8272.3,8273.1,8272.7,8277.3,8278.1,8277.7,683
2026-04-15T15:00:00,2026-04-15T13:00:00,8276.8,8277.6,8277.2,8284.3,8285.1,8284.7,8273.8,8274.6,8274.2,8274.8,8275.6,8275.2,758
2026-04-15T15:15:00,2026-04-15T13:15:00,8274.3,8275.1,8274.7,8280.6,8281.4,8281.0,8266.8,8267.6,8267.2,8280.6,8281.4,8281.0,1029
2026-04-15T15:30:00,2026-04-15T13:30:00,8280.3,8281.1,8280.7,8287.3,8288.1,8287.7,8269.6,8270.4,8270.0,8270.3,8271.1,8270.7,1874
2026-04-15T15:45:00,2026-04-15T13:45:00,8270.6,8271.4,8271.0,8276.8,8277.6,8277.2,8264.8,8265.6,8265.2,8276.1,8276.9,8276.5,1399
2026-04-15T16:00:00,2026-04-15T14:00:00,8275.8,8276.6,8276.2,8278.8,8279.6,8279.2,8270.3,8271.1,8270.7,8275.3,8276.1,8275.7,1221
2026-04-15T16:15:00,2026-04-15T14:15:00,8275.1,8275.9,8275.5,8275.8,8276.6,8276.2,8263.6,8264.4,8264.0,8270.8,8271.6,8271.2,1212
2026-04-15T16:30:00,2026-04-15T14:30:00,8271.1,8271.9,8271.5,8271.6,8272.4,8272.0,8256.6,8257.4,8257.0,8263.8,8264.6,8264.2,1082
2026-04-15T16:45:00,2026-04-15T14:45:00,8263.6,8264.4,8264.0,8269.8,8270.6,8270.2,8260.6,8261.4,8261.0,8268.3,8269.1,8268.7,760
2026-04-15T17:00:00,2026-04-15T15:00:00,8268.6,8269.4,8269.0,8278.3,8279.1,8278.7,8265.3,8266.1,8265.7,8271.8,8272.6,8272.2,1132
2026-04-15T17:15:00,2026-04-15T15:15:00,8271.6,8272.4,8272.0,8279.3,8280.1,8279.7,8268.3,8269.1,8268.7,8278.3,8279.1,8278.7,1123
2026-04-15T17:30:00,2026-04-15T15:30:00,8277.8,8278.6,8278.2,8279.3,8280.4,8279.849999999999,8269.1,8270.4,8269.75,8274.8,8276.1,8275.45,1040
2026-04-15T17:45:00,2026-04-15T15:45:00,8275.1,8276.4,8275.75,8275.3,8276.6,8275.95,8265.1,8266.4,8265.75,8266.1,8267.4,8266.75,552
2026-04-15T18:00:00,2026-04-15T16:00:00,8266.6,8267.9,8267.25,8273.3,8274.6,8273.95,8264.1,8265.4,8264.75,8272.1,8273.4,8272.75,376
2026-04-15T18:15:00,2026-04-15T16:15:00,8272.3,8273.6,8272.95,8275.6,8276.9,8276.25,8271.3,8272.6,8271.95,8273.1,8274.4,8273.75,355
2026-04-15T18:30:00,2026-04-15T16:30:00,8273.3,8274.6,8273.95,8273.3,8274.6,8273.95,8259.6,8260.9,8260.25,8263.6,8264.9,8264.25,782
2026-04-15T18:45:00,2026-04-15T16:45:00,8263.8,8265.1,8264.45,8265.6,8266.9,8266.25,8258.3,8259.6,8258.95,8261.3,8262.6,8261.95,791
2026-04-15T19:00:00,2026-04-15T17:00:00,8261.8,8263.1,8262.45,8267.6,8268.9,8268.25,8261.8,8263.1,8262.45,8263.8,8265.1,8264.45,305
2026-04-15T19:15:00,2026-04-15T17:15:00,8263.6,8264.9,8264.25,8267.3,8268.6,8267.95,8263.6,8264.9,8264.25,8264.6,8265.9,8265.25,240
2026-04-15T19:30:00,2026-04-15T17:30:00,8264.3,8265.6,8264.95,8267.3,8268.6,8267.95,8257.8,8259.1,8258.45,8258.6,8259.9,8259.25,233
2026-04-15T19:45:00,2026-04-15T17:45:00,8258.8,8260.1,8259.45,8259.3,8260.6,8259.95,8256.6,8257.9,8257.25,8256.6,8257.9,8257.25,237
