snapshotTime,snapshotTimeUTC,open_bid,open_ask,open_mid,high_bid,high_ask,high_mid,low_bid,low_ask,low_mid,close_bid,close_ask,close_mid,volume
2026-04-15T09:30:00,2026-04-15T07:30:00,25821.2,25823.0,25822.1,25840.1,25841.9,25841.0,25819.6,25821.4,25820.5,25833.3,25835.1,25834.199999999997,1937
2026-04-15T09:45:00,2026-04-15T07:45:00,25833.1,25834.9,25834.0,25844.7,25846.5,25845.6,25815.0,25816.8,25815.9,25839.6,25841.4,25840.5,2321
2026-04-15T10:00:00,2026-04-15T08:00:00,25840.9,25842.7,25841.800000000003,25850.6,25852.4,25851.5,25835.9,25837.7,25836.800000000003,25843.5,25845.3,25844.4,2297
2026-04-15T10:15:00,2026-04-15T08:15:00,25843.8,25845.6,25844.699999999997,25859.6,25861.4,25860.5,25835.6,25837.4,25836.5,25857.7,25859.5,25858.6,2058
2026-04-15T10:30:00,2026-04-15T08:30:00,25858.1,25859.9,25859.0,25864.6,25866.4,25865.5,25854.0,25855.8,25854.9,25859.9,25861.7,25860.800000000003,2187
2026-04-15T10:45:00,2026-04-15T08:45:00,25859.5,25861.3,25860.4,25872.3,25874.1,25873.199999999997,25853.0,25854.8,25853.9,25866.4,25868.2,25867.300000000003,1826
2026-04-15T11:00:00,2026-04-15T09:00:00,25866.5,25868.3,25867.4,25872.7,25874.5,25873.6,25823.1,25824.9,25824.0,25828.0,25829.8,25828.9,3393
2026-04-15T11:15:00,2026-04-15T09:15:00,25827.9,25829.7,25828.800000000003,25838.1,25839.9,25839.0,25817.5,25819.3,25818.4,25824.1,25825.9,25825.0,2488
2026-04-15T11:30:00,2026-04-15T09:30:00,25823.9,25825.7,25824.800000000003,25831.8,25833.6,25832.699999999997,25814.8,25816.6,25815.699999999997,25818.5,25820.3,25819.4,2203
2026-04-15T11:45:00,2026-04-15T09:45:00,25818.2,25820.0,25819.1,25825.6,25827.4,25826.5,25809.6,25811.4,25810.5,25812.5,25814.3,25813.4,1908
2026-04-15T12:00:00,2026-04-15T10:00:00,25812.6,25814.4,25813.5,25833.0,25834.8,25833.9,25808.4,25810.2,25809.300000000003,25819.3,25821.1,25820.199999999997,2409
2026-04-15T12:15:00,2026-04-15T10:15:00,25819.2,25821.0,25820.1,25820.3,25822.1,25821.199999999997,25774.7,25776.5,25775.6,25785.1,25786.9,25786.0,3588
2026-04-15T12:30:00,2026-04-15T10:30:00,25784.9,25786.7,25785.800000000003,25815.8,25817.6,25816.699999999997,25769.2,25771.0,25770.1,25815.1,25816.9,25816.0,3274
2026-04-15T12:45:00,2026-04-15T10:45:00,25815.5,25817.3,25816.4,25823.0,25824.8,25823.9,25805.7,25807.5,25806.6,25819.1,25820.9,25820.0,2727
2026-04-15T13:00:00,2026-04-15T11:00:00,25819.4,25821.2,25820.300000000003,25832.7,25834.5,25833.6,25812.1,25813.9,25813.0,25832.1,25833.9,25833.0,2544
2026-04-15T13:15:00,2026-04-15T11:15:00,25832.3,25834.1,25833.199999999997,25833.7,25835.5,25834.6,25807.1,25808.9,25808.0,25815.6,25817.4,25816.5,2418
2026-04-15T13:30:00,2026-04-15T11:30:00,25815.7,25817.5,25816.6,25837.7,25839.5,25838.6,25812.0,25813.8,25812.9,25822.4,25824.2,25823.300000000003,2399
2026-04-15T13:45:00,2026-04-15T11:45:00,25822.6,25824.4,25823.5,25877.9,25879.7,25878.800000000003,25815.7,25817.5,25816.6,25831.2,25833.0,25832.1,3591
2026-04-15T14:00:00,2026-04-15T12:00:00,25831.3,25833.1,25832.199999999997,25839.9,25841.7,25840.800000000003,25798.7,25800.5,25799.6,25799.1,25800.9,25800.0,3742
2026-04-15T14:15:00,2026-04-15T12:15:00,25799.2,25801.0,25800.1,25816.8,25818.6,25817.699999999997,25794.5,25796.3,25795.4,25810.4,25812.2,25811.300000000003,2794
