snapshotTime,snapshotTimeUTC,open_bid,open_ask,open_mid,high_bid,high_ask,high_mid,low_bid,low_ask,low_mid,close_bid,close_ask,close_mid,volume
2026-04-15T09:30:00,2026-04-15T07:30:00,1.17875,1.17882,1.178785,1.17902,1.17909,1.179055,1.17851,1.17858,1.178545,1.17888,1.17895,1.178915,953
2026-04-15T09:45:00,2026-04-15T07:45:00,1.17887,1.17894,1.178905,1.17895,1.17902,1.178985,1.17841,1.17848,1.178445,1.17855,1.17862,1.178585,1153
2026-04-15T10:00:00,2026-04-15T08:00:00,1.17854,1.17861,1.178575,1.17903,1.1791,1.179065,1.17851,1.17858,1.178545,1.17899,1.17906,1.179025,1133
2026-04-15T10:15:00,2026-04-15T08:15:00,1.179,1.17907,1.179035,1.17952,1.17959,1.179555,1.17896,1.17903,1.178995,1.17917,1.17924,1.179205,969
2026-04-15T10:30:00,2026-04-15T08:30:00,1.17916,1.17923,1.179195,1.17917,1.17924,1.179205,1.17871,1.17878,1.178745,1.17892,1.17899,1.178955,856
2026-04-15T10:45:00,2026-04-15T08:45:00,1.17891,1.17898,1.178945,1.17902,1.17909,1.179055,1.17858,1.17865,1.178615,1.17891,1.17898,1.178945,744
2026-04-15T11:00:00,2026-04-15T09:00:00,1.17892,1.17899,1.178955,1.17912,1.17919,1.179155,1.17751,1.17758,1.177545,1.17817,1.17824,1.178205,2281
2026-04-15T11:15:00,2026-04-15T09:15:00,1.17818,1.17825,1.178215,1.17866,1.17873,1.178695,1.17812,1.17819,1.178155,1.17844,1.17851,1.178475,1143
2026-04-15T11:30:00,2026-04-15T09:30:00,1.17843,1.1785,1.178465,1.17848,1.17855,1.178515,1.17792,1.17799,1.177955,1.17818,1.17825,1.178215,950
2026-04-15T11:45:00,2026-04-15T09:45:00,1.17817,1.17824,1.178205,1.17833,1.1784,1.1783649999999999,1.17781,1.17788,1.177845,1.17814,1.17821,1.178175,891
2026-04-15T12:00:00,2026-04-15T10:00:00,1.17815,1.17822,1.178185,1.17863,1.1787,1.178665,1.17784,1.17791,1.177875,1.17849,1.17856,1.178525,1204
2026-04-15T12:15:00,2026-04-15T10:15:00,1.17848,1.17855,1.178515,1.17849,1.17856,1.178525,1.17728,1.17735,1.1773150000000001,1.17754,1.17761,1.177575,1733
2026-04-15T12:30:00,2026-04-15T10:30:00,1.17753,1.1776,1.177565,1.17808,1.17815,1.178115,1.17718,1.17725,1.177215,1.17788,1.17795,1.177915,1525
2026-04-15T12:45:00,2026-04-15T10:45:00,1.17789,1.17796,1.177925,1.17833,1.1784,1.1783649999999999,1.17764,1.17771,1.177675,1.17767,1.17774,1.177705,1337
2026-04-15T13:00:00,2026-04-15T11:00:00,1.17768,1.17775,1.177715,1.17794,1.17801,1.177975,1.17747,1.17754,1.177505,1.17773,1.1778,1.177765,966
2026-04-15T13:15:00,2026-04-15T11:15:00,1.17772,1.17779,1.1777549999999999,1.17792,1.17799,1.177955,1.17751,1.17758,1.177545,1.17764,1.17771,1.177675,1022
2026-04-15T13:30:00,2026-04-15T11:30:00,1.17765,1.17772,1.177685,1.17798,1.17805,1.178015,1.17752,1.17759,1.177555,1.17769,1.17776,1.177725,903
2026-04-15T13:45:00,2026-04-15T11:45:00,1.17768,1.17775,1.177715,1.17841,1.17848,1.178445,1.17729,1.17736,1.177325,1.17828,1.17835,1.178315,1758
